Player_Name,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal,Assists_PA,Shots_PA,Tackles_PA,Interceptions_PA,Big_chances_PA,Recoveries_PA,Duels_won_PA,Through_balls_PA,Accurate_long_balls_PA,Aerial_battles_won_PA,Cluster,Market Value (M Euro)
David Brooks,58,9,0.16,1,0,8,0,0,65,28,43,4,11,6,1177,20.29,11,78,23,17,33,6,0,28,3,49,71,15,30,29,5,149,155,231,42,11,48,0,0.10344827586206896,1.1206896551724137,0.8448275862068966,0.5172413793103449,0.1896551724137931,2.5689655172413794,2.6724137931034484,0.29310344827586204,0.5689655172413793,0.1896551724137931,Attacking,8.0
Ryan Christie,72,1,0.01,0,0,1,0,0,76,22,29,1,1,6,1903,26.43,11,107,28,23,113,9,0,86,6,122,55,29,78,70,40,383,334,405,89,39,66,0,0.08333333333333333,1.0555555555555556,1.6944444444444444,1.0833333333333333,0.1527777777777778,5.319444444444445,4.638888888888889,0.3194444444444444,1.5694444444444444,0.5416666666666666,Defensive,12.0
Marcus Tavernier,56,9,0.16,0,2,7,0,0,102,36,35,1,6,8,1446,25.82,12,223,22,8,49,4,0,43,7,93,65,29,14,38,23,278,269,349,91,33,71,0,0.14285714285714285,1.8214285714285714,1.6607142857142858,0.25,0.21428571428571427,4.964285714285714,4.803571428571429,0.14285714285714285,0.875,0.5892857142857143,Attacking,20.0
Joe Rothwell,31,0,0.0,0,0,0,0,0,5,2,40,1,0,1,630,20.32,1,39,28,4,21,2,0,21,0,27,56,2,12,9,1,88,56,62,23,2,5,0,0.03225806451612903,0.16129032258064516,0.8709677419354839,0.3870967741935484,0.03225806451612903,2.838709677419355,1.8064516129032258,0.12903225806451613,0.6774193548387096,0.06451612903225806,Balanced,2.5
Hamed Traorè,10,0,0.0,0,0,0,0,0,9,2,22,1,1,0,159,15.9,0,44,27,6,4,0,0,4,1,18,61,5,2,1,0,37,46,47,20,4,3,0,0.0,0.9,1.8,0.2,0.0,3.7,4.6,0.6,0.4,0.4,Balanced,17.0
Jefferson Lerma,130,9,0.07,2,6,1,0,0,131,31,24,5,6,3,5832,44.86,12,35,20,19,255,39,1,167,10,192,61,22,197,286,174,943,674,571,71,265,202,1,0.023076923076923078,1.0076923076923077,1.476923076923077,1.5153846153846153,0.09230769230769231,7.253846153846154,5.184615384615385,0.14615384615384616,1.9615384615384615,2.0384615384615383,Defensive,20.0
Alex Scott,26,1,0.04,0,0,1,0,0,16,4,25,0,0,1,476,18.31,4,36,19,2,18,3,0,21,1,36,58,5,15,20,10,69,96,98,13,18,24,1,0.038461538461538464,0.6153846153846154,1.3846153846153846,0.5769230769230769,0.15384615384615385,2.6538461538461537,3.6923076923076925,0.07692307692307693,0.6923076923076923,0.6923076923076923,Balanced,20.0
Philip Billing,143,12,0.08,1,3,7,0,0,150,45,30,5,6,4,4108,28.73,16,150,17,7,179,26,1,138,8,268,59,42,188,224,139,631,771,632,86,313,180,3,0.027972027972027972,1.048951048951049,1.8741258741258742,1.3146853146853146,0.11188811188811189,4.4125874125874125,5.391608391608392,0.04895104895104895,1.2517482517482517,2.1888111888111887,Defensive,22.0
Lewis Cook,139,1,0.01,1,0,0,0,0,55,11,20,0,0,9,4782,34.4,8,240,28,15,281,23,1,133,4,224,58,22,160,122,50,774,490,570,115,85,103,2,0.06474820143884892,0.39568345323741005,1.6115107913669064,1.1510791366906474,0.05755395683453238,5.568345323741007,3.5251798561151078,0.1079136690647482,2.0215827338129495,0.6115107913669064,Defensive,12.0
Douglas Luiz,175,20,0.11,1,16,3,4,1,169,57,34,3,6,18,7745,44.26,26,351,23,28,433,41,2,246,2,284,57,62,176,148,58,977,770,770,130,149,152,3,0.10285714285714286,0.9657142857142857,1.6228571428571428,1.0057142857142858,0.14857142857142858,5.582857142857143,4.4,0.16,2.474285714285714,0.8514285714285714,Defensive,70.0
