,Player_Name,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
0,David Brooks,58,9,0.16,1,0,8,0,0,65,28,43,4,11,6,1177,20.29,11,78,23,17,33,6,0,28,3,49,71,15,30,29,5,149,155,231,42,11,48,0
1,Ryan Christie,72,1,0.01,0,0,1,0,0,76,22,29,1,1,6,1903,26.43,11,107,28,23,113,9,0,86,6,122,55,29,78,70,40,383,334,405,89,39,66,0
2,Junior Stanislas,144,26,0.18,1,22,3,5,1,248,88,35,11,5,14,3298,22.9,20,417,18,34,80,8,0,55,22,123,64,79,72,76,26,463,332,478,98,63,134,0
3,Marcus Tavernier,56,9,0.16,0,2,7,0,0,102,36,35,1,6,8,1446,25.82,12,223,22,8,49,4,0,43,7,93,65,29,14,38,23,278,269,349,91,33,71,0
4,Joe Rothwell,31,0,0.0,0,0,0,0,0,5,2,40,1,0,1,630,20.32,1,39,28,4,21,2,0,21,0,27,56,2,12,9,1,88,56,62,23,2,5,0
5,Hamed Traorè,10,0,0.0,0,0,0,0,0,9,2,22,1,1,0,159,15.9,0,44,27,6,4,0,0,4,1,18,61,5,2,1,0,37,46,47,20,4,3,0
6,Jefferson Lerma,130,9,0.07,2,6,1,0,0,131,31,24,5,6,3,5832,44.86,12,35,20,19,255,39,1,167,10,192,61,22,197,286,174,943,674,571,71,265,202,1
7,Alex Scott,26,1,0.04,0,0,1,0,0,16,4,25,0,0,1,476,18.31,4,36,19,2,18,3,0,21,1,36,58,5,15,20,10,69,96,98,13,18,24,1
8,Philip Billing,143,12,0.08,1,3,7,0,0,150,45,30,5,6,4,4108,28.73,16,150,17,7,179,26,1,138,8,268,59,42,188,224,139,631,771,632,86,313,180,3
9,Lewis Cook,139,1,0.01,1,0,0,0,0,55,11,20,0,0,9,4782,34.4,8,240,28,15,281,23,1,133,4,224,58,22,160,122,50,774,490,570,115,85,103,2
10,Douglas Luiz,175,20,0.11,1,16,3,4,1,169,57,34,3,6,18,7745,44.26,26,351,23,28,433,41,2,246,2,284,57,62,176,148,58,977,770,770,130,149,152,3
11,John McGinn,172,16,0.09,0,3,13,0,1,228,74,32,4,12,19,5493,31.94,32,356,27,50,460,40,1,221,3,348,60,58,149,100,33,930,1060,904,250,97,136,0
12,Emiliano Buendía,109,10,0.09,3,5,2,0,0,133,36,27,4,5,15,3250,29.82,25,216,22,49,163,7,1,96,6,171,47,45,52,46,25,435,554,668,170,71,140,2
13,Leander Dendoncker,152,10,0.07,2,5,3,0,0,98,36,37,5,16,2,4379,28.81,4,31,26,1,161,14,0,88,5,246,48,16,117,191,120,543,611,536,44,283,250,1
14,Boubacar Kamara,44,0,0.0,0,0,0,0,0,9,2,22,0,0,2,1964,44.64,2,3,0,8,89,11,1,69,0,101,53,1,40,38,18,223,232,212,30,42,42,2
15,Jacob Ramsey,110,13,0.12,0,8,5,0,0,100,32,32,2,9,10,2462,22.38,13,63,21,9,55,13,0,88,5,164,59,30,54,66,22,360,403,439,83,44,82,0
16,Youri Tielemans,186,23,0.12,1,19,3,5,0,242,78,32,9,5,27,9217,49.55,39,373,18,78,442,21,0,170,2,345,54,85,140,110,63,1030,844,744,154,136,109,1
17,Bruno Fernandes,162,54,0.33,3,46,5,19,1,449,177,39,17,34,41,8688,53.63,92,772,23,107,581,33,0,169,37,276,56,130,106,165,87,844,651,868,116,79,157,1
18,Matheus Nunes,55,1,0.02,0,1,0,0,0,38,13,34,2,5,4,1513,27.51,5,66,24,8,85,2,2,46,7,80,60,12,23,41,21,195,247,232,65,29,39,2
19,Stefan Bajcetic,12,1,0.08,0,0,1,0,0,6,3,50,0,0,0,263,21.92,0,5,20,0,12,2,0,8,0,13,54,2,9,4,3,42,40,44,7,9,5,0
20,Bernardo Silva,236,39,0.17,2,4,33,0,0,279,111,40,7,29,44,10695,45.32,59,443,18,26,344,32,0,166,21,293,56,89,130,86,26,866,791,913,279,56,136,0
21,Harvey Elliott,77,4,0.05,0,0,4,0,0,96,31,32,3,2,8,2136,27.74,12,109,28,12,79,4,0,23,3,57,61,36,25,14,6,236,147,170,31,15,31,0
22,Shandon Baptiste,55,2,0.04,0,1,1,0,0,18,7,39,0,0,2,663,12.05,3,22,32,2,26,2,2,20,2,33,52,7,21,26,15,124,103,110,31,16,31,0
23,Sofyan Amrabat,21,0,0.0,0,0,0,0,0,3,0,0,1,0,0,645,30.71,0,7,14,0,35,6,0,24,0,27,59,1,8,19,9,60,48,56,6,5,6,1
24,James Maddison,194,47,0.24,0,35,12,2,8,453,158,35,8,24,43,7383,38.06,63,934,25,90,339,30,1,158,24,266,55,151,68,38,15,661,989,814,241,36,98,1
25,Oliver Skipp,79,1,0.01,0,1,0,0,0,18,6,33,0,1,0,2215,28.04,1,17,24,5,69,17,0,53,1,96,56,8,34,38,15,243,200,191,21,34,51,1
26,Mario Lemina,131,7,0.05,3,4,0,0,0,125,33,26,3,4,5,4846,36.99,7,42,21,20,224,25,2,154,12,306,63,36,172,166,88,681,670,516,143,131,102,1
27,Jack Hinshelwood,16,3,0.19,2,1,0,0,0,17,9,53,1,3,0,589,36.81,1,18,22,0,14,1,0,12,1,17,29,2,16,21,11,41,30,41,1,8,11,0
28,Moisés Caicedo,83,3,0.04,0,3,0,0,0,52,16,31,2,0,5,4747,57.19,7,28,32,26,190,24,0,126,1,216,51,25,109,67,33,517,476,354,63,80,57,2
29,Pierre-Emile Højbjerg,254,12,0.05,0,10,2,0,0,240,73,30,7,11,15,14660,57.72,20,141,29,42,784,41,2,299,3,504,60,64,340,327,173,1865,1243,1136,206,250,189,3
30,Pablo Sarabia,45,5,0.11,1,1,3,2,0,68,25,37,0,7,7,1166,25.91,10,179,26,11,46,8,0,34,12,34,56,22,13,10,5,134,100,169,22,10,36,0
31,Enzo Fernández,49,3,0.06,1,2,0,1,0,70,20,29,3,6,4,3404,69.47,8,65,18,34,273,10,0,45,5,104,52,20,33,38,16,252,231,226,41,29,33,0
32,Jakub Moder,57,0,0.0,0,0,0,0,0,52,12,23,4,6,3,1312,23.02,7,62,15,7,20,4,0,39,4,76,55,19,15,39,16,182,157,198,27,35,54,0
33,Facundo Buonanotte,43,5,0.12,0,0,5,0,0,34,13,38,2,2,3,711,16.53,6,18,44,3,15,9,0,47,7,51,49,11,13,7,3,99,139,200,27,8,23,0
34,Ryan Gravenberch,29,1,0.03,0,1,0,0,0,23,8,35,1,1,0,672,23.17,1,4,0,6,9,1,0,28,0,34,53,7,21,13,3,90,91,98,26,12,14,0
35,Giovani Lo Celso,77,3,0.04,0,0,3,0,0,55,16,29,2,3,5,2168,28.16,6,111,21,11,85,13,0,61,2,109,62,14,22,24,10,240,286,276,57,23,45,0
36,Bryan Mbeumo,101,25,0.25,0,1,24,5,0,207,79,38,12,29,21,2265,22.43,28,335,27,29,73,13,0,72,25,70,64,42,32,44,22,373,379,622,113,90,221,0
37,Pascal Groß,228,30,0.13,2,20,8,6,1,247,93,38,4,19,45,10413,45.67,73,1392,31,40,490,25,0,159,44,302,57,84,112,129,46,862,596,837,72,110,240,1
38,Wilfred Ndidi,195,7,0.04,1,4,2,0,0,193,33,17,5,4,10,9394,48.17,7,40,5,19,382,34,2,308,6,701,62,52,391,442,240,1560,1494,1233,143,516,420,3
39,Conor Gallagher,136,18,0.13,1,15,2,0,0,157,58,37,7,12,13,4678,34.4,22,307,25,9,161,37,2,226,5,280,58,43,122,94,42,686,731,790,135,90,131,0
40,Scott McTominay,178,19,0.11,5,10,4,0,0,157,57,36,1,13,4,5469,30.72,10,54,19,10,255,28,0,215,9,261,54,53,149,264,176,746,855,705,120,281,201,2
41,Mohammed Kudus,36,8,0.22,0,4,4,0,0,74,17,23,3,4,6,834,23.17,6,109,22,4,48,6,0,43,17,70,71,27,11,8,0,222,303,273,135,17,30,0
42,Yves Bissouma,165,4,0.02,0,4,0,0,0,141,24,17,2,4,2,6907,41.86,5,26,19,15,242,43,3,210,3,390,65,36,219,212,126,854,844,672,204,118,112,2
43,Rodrigo Bentancur,60,6,0.1,0,4,2,0,0,50,18,36,1,2,7,2715,45.25,6,34,24,12,81,22,0,69,0,107,60,13,59,69,38,274,242,246,46,51,58,0
