Player_Name,Market Value (M Euro)
David Brooks,8
Ryan Christie,12
Junior Stanislas,
Marcus Tavernier,20
Joe Rothwell,2.5
Hamed Traorè,17
Jefferson Lerma,20
Alex Scott,20
Philip Billing,22
Lewis Cook,12
Douglas Luiz,70
John McGinn,30
Emiliano Buendía,22
Leander Dendoncker,7
Boubacar Kamara,38
Jacob Ramsey,35
Youri Tielemans,25
Bruno Fernandes,70
Matheus Nunes,50
Stefan Bajcetic,11
Bernardo Silva,70
Harvey Elliott,35
Shandon Baptiste,2.5
Sofyan Amrabat,22
James Maddison,70
Oliver Skipp,15
Mario Lemina,10
Jack Hinshelwood,16
Moisés Caicedo,75
Pierre-Emile Højbjerg,18
Pablo Sarabia,10
Enzo Fernández,75
Jakub Moder,10
Facundo Buonanotte,18
Ryan Gravenberch,35
Giovani Lo Celso,16
Bryan Mbeumo,40
Pascal Groß,8
Wilfred Ndidi,16
Conor Gallagher,50
Scott McTominay,32
Mohammed Kudus,50
Yves Bissouma,35
Rodrigo Bentancur,35
Tom Cairney,2
James Milner,1
Jean-Ricner Bellegarde,15
Eberechi Eze,55
Frank Onyeka,9
Roméo Lavia,35
Bruno Guimarães,85
Mikkel Damsgaard,10
Will Hughes,9
Dejan Kulusevski,55
Julio Enciso,22
João Palhinha,55
Harry Wilson,17
Kaoru Mitoma,45
Cheick Doucouré,35
Pape Sarr,45
Sasa Lukic,10
Wataru Endo,13
Dominik Szoboszlai,75
Kevin Schade,22
James Garner,22
Billy Gilmour,18
Kevin De Bruyne,50
Harvey Barnes,35
Naouirou Ahamada,8
Adam Lallana,1
Mateo Kovacic,30
Jacob Murphy,15
Alexis Mac Allister,75
Pablo Fornals,14
Carney Chukwuemeka,15
Tomás Soucek,30
Vitaly Janelt,22
Harrison Reed,15
Solly March,18
Yehor Yarmoliuk,10
Idrissa Gueye,3
Mykhailo Mudryk,35
Elliot Anderson,15
Tommy Doyle,10
João Gomes,35
Sean Longstaff,25
Miguel Almirón,20
Jack Grealish,60
Lucas Paquetá,65
Mathias Jensen,28
James Ward-Prowse,30
Abdoulaye Doucouré,10
Boubacar Traoré,6
Curtis Jones,35
Edson Álvarez,35
Amadou Onana,50
Matt Ritchie,1
Phil Foden,150
Orel Mangala,20
Carlos Baleba,22
Harry Winks,12
Michael Olise,55
Cesare Casadei,10
Morgan Gibbs-White,40
Christian Eriksen,8
Ryan Yates,12
Christian Nørgaard,18
Kobbie Mainoo,55
Yoane Wissa,28
Jeffrey Schlupp,7
Andreas Pereira,20
Mason Mount,35
Cole Palmer,80
Thomas Partey,18
Martin Ødegaard,110
Emile Smith Rowe,22
Jorginho,12
Fabio Vieira,22
Declan Rice,120
Ainsley Maitland-Niles,9
Rodri,130
